X,Y,COMUNA,NOMBRE,UBICACION,LUGAR,DIRECCION NORMALIZADA
-58.4250768600569,-34.5894693818369,14,ARMENIA,PLAZA ARMENIA (PQUE. 3 DE FEBRERO),ESPACIOS VERDES,COSTA RICA Y MALABIA
-58.4250768600569,-34.5894693818369,14,RIQUEZA AGROPECUARIA,PZA. ALEMANIA,ESPACIOS VERDES,COSTA RICA Y MALABIA
-58.3922790942717,-34.5939790785629,2,AGUSTÍN R. ASTENGO,PLZTA. AGUSTÍN R. ASTENGO,ESPACIOS VERDES,JUNCAL 1750
-58.3900600782645,-34.5942743161683,2,PLAZOLETA E. UDAONDO,JUNCAL Y MONTEVIDEO,ESPACIOS VERDES,JUNCAL Y MONTEVIDEO
-58.4771156889818,-34.5951149644747,15,JUEGO DE AGUA,PQUE. ISLA DE LA PATERNAL (EX - WARNES),ESPACIOS VERDES,ZABALA, JOAQUIN, DR. Y CHORROARIN AV.
-58.3840939317432,-34.5980805548725,1,PZA. LIBERTAD I,LIBERTAD Y PARAGUAY,ESPACIOS VERDES,LIBERTAD Y PARAGUAY
-58.3840939317432,-34.5980805548725,1,PZA. LIBERTAD II,LIBERTAD Y PARAGUAY,ESPACIOS VERDES,LIBERTAD Y PARAGUAY
-58.3812498973237,-34.5990312612813,1,ORNAMENTALES II,PZA. STA. CRUZ (CORDOBA Y PELLEGRINI),ESPACIOS VERDES,CORDOBA AV. Y PELLEGRINI, CARLOS
-58.3825208768477,-34.5990902742679,1,ORNAMENTALES I,PZA. STA. CRUZ (CORDOBA Y CERRITO),ESPACIOS VERDES,CORDOBA AV. Y CERRITO
-58.3838801302764,-34.6014523058107,1,BALLET NACIONAL,PZA LAVALLE (LIBERTAD Y TUCUMAN),ESPACIOS VERDES,LIBERTAD Y TUCUMAN
-58.4186144775859,-34.6067796463975,5,PLAZA ALMAGRO I,BULNES Y PERON,ESPACIOS VERDES,BULNES Y PERON, JUAN DOMINGO, TTE. GENERAL
-58.4186144775859,-34.6067796463975,5,PLAZA ALMAGRO II,BULNES Y PERON,ESPACIOS VERDES,BULNES Y PERON, JUAN DOMINGO, TTE. GENERAL
-58.4492899725586,-34.606857651315,15,PZA. 24 DE SEPTIEMBRE,AV. SAN MARTIN Y CNEL. APOLINARIO FIGUEROA ,ESPACIOS VERDES,SAN MARTIN AV. Y FIGUEROA, D. APOLINARIO, CORONEL
-58.3793211614874,-34.6069228024087,1,PZA. SUIPACHA,SUIPACHA 120,ESPACIOS VERDES,SUIPACHA 120
-58.3778090820198,-34.6082113013519,1,PZA. ROBERTO ARLT I,AV. RIVADAVIA Y ESMERALDA,ESPACIOS VERDES,RIVADAVIA AV. Y ESMERALDA
-58.3778090820198,-34.6082113013519,1,PZA. ROBERTO ARLT II,AV. RIVADAVIA Y ESMERALDA,ESPACIOS VERDES,RIVADAVIA AV. Y ESMERALDA
-58.4370111267209,-34.6084633329796,6,FLOR DE IRUPE,PQUE. CENTENARIO,ESPACIOS VERDES,DIAZ VELEZ AV. Y MARECHAL, LEOPOLDO
-58.4370111267209,-34.6084633329796,6,LOS ERIZOS,PQUE. CENTENARIO,ESPACIOS VERDES,DIAZ VELEZ AV. Y MARECHAL, LEOPOLDO
-58.3876564810354,-34.608920950325,1,VIRREY CEBALLOS,PZA. LOREA,ESPACIOS VERDES,RIVADAVIA AV. Y PARANA
-58.389172243463,-34.60907878036,1,DOS CONGRESOS,PLAZA DE LOS DOS CONGRESOS,ESPACIOS VERDES,RIVADAVIA AV. Y CEVALLOS, VIRREY
-58.407665054284,-34.6102376501199,3,MAUSOLEO RIVADAVIA,PLAZA MISERERE,ESPACIOS VERDES,RIVADAVIA AV. Y CATAMARCA
-58.407665054284,-34.6102376501199,3,COMBATE DE LOS POZOS,PATIO RECREATIVO FRANCISCO CANARO,ESPACIOS VERDES,RIVADAVIA AV. Y CATAMARCA
-58.4088822802861,-34.6103354501918,3,MTO. VICTIMAS DE ESTACION ONCE,PLAZA MISERERE,ESPACIOS VERDES,ECUADOR Y RIVADAVIA AV.
-58.467848237754,-34.6113037955939,11,PZA R.S. PEÑA (PAPPO),J.B. JUSTO Y BOYACA,ESPACIOS VERDES,JUSTO, JUAN B. AV. Y BOYACA
-58.3815648149734,-34.6164880979196,1,UADE,PZTA. PASEO DE LA CIENCIA Y CULTURA ARABE,ESPACIOS VERDES,LIMA Y CHILE
-58.4345362143566,-34.6190727628265,6,LA NORIA,PQUE. RIVADAVIA,ESPACIOS VERDES,ROSARIO Y BEAUCHEF
-58.4345362143566,-34.6190727628265,6,LAGO,PQUE. RIVADAVIA,ESPACIOS VERDES,ROSARIO Y BEAUCHEF
-58.4560760254784,-34.6212043593207,7,DEL ANGEL GRIS (PZA. 20 DE DICIEMBRE),AVELLANEDA Y TTE. GRAL. DONATO ALVAREZ,ESPACIOS VERDES,AVELLANEDA AV. Y ALVAREZ, DONATO, TTE. GRAL.
-58.4734618838528,-34.622174943292,7,PLAZA DE LOS PERIODISTAS,AV. NAZCA Y PAEZ,ESPACIOS VERDES,NAZCA AV. Y PAEZ
-58.4069016609345,-34.6259267290533,3,MARTIN FIERRO,LA RIOJA Y COCHABAMBA,ESPACIOS VERDES,LA RIOJA Y COCHABAMBA
-58.38336991784,-34.6327478654745,4,EL CENTAURO,PZA. ESPAÑA (CASEROS Y AV. AMANCIO ALCORTA),ESPACIOS VERDES,CASEROS AV. Y ALCORTA, AMANCIO AV.
-58.4428063623563,-34.6360582757579,7,LA CASCADA ,PQUE. CHACABUCO,ESPACIOS VERDES,ASAMBLEA AV. Y PUAN
-58.4428063623563,-34.6360582757579,7,LA CUADRADA,PQUE. CHACABUCO,ESPACIOS VERDES,ASAMBLEA AV. Y PUAN
-58.4428063623563,-34.6360582757579,7,LOS SAPITOS,PQUE. CHACABUCO,ESPACIOS VERDES,ASAMBLEA AV. Y PUAN
-58.374728999894,-34.637847807564,4,PZA. COLOMBIA,AV. MONTES DE OCA Y BRANDSEN,ESPACIOS VERDES,MONTES DE OCA, MANUEL AV. Y BRANDSEN
-58.510052663372,-34.6391167196365,10,EJERCITO DE LOS ANDES,AV. RIVADAVIA Y ALBARIÑO,ESPACIOS VERDES,RIVADAVIA AV. Y ALBARIÑO
-58.4131028708902,-34.6444440932023,4,PZA. LOPEZ TORRES,CACHI Y MIRIÑAY,ESPACIOS VERDES,CACHI Y MIRIÑAY
-58.3889069429219,-34.65244258656,4,LAGO PEREYRA,PQUE. PEREYRA,ESPACIOS VERDES,VELEZ SARSFIELD AV. Y RIO CUARTO
-58.5031121702193,-34.6601362582703,9,GRAL. BELGRANO LOS CILINDROS,PQUE. ALBERDI (AV. DIRECTORIO Y L. DE LA TORRE),ESPACIOS VERDES,DIRECTORIO AV. Y DE LA TORRE, LISANDRO AV.
-58.4802785066348,-34.6681355021766,8,PLAZA DE LOS MILAGROS,SANTANDER Y LARRAYA,ESPACIOS VERDES,SANTANDER Y LARRAYA
-58.4635009698894,-34.6701824558844,8,JUEGO DE AGUA,PQUE. INDOAMERICANO,ESPACIOS VERDES,ESCALADA AV. Y BATLLE Y ORDOÑEZ, JOSE P.T.
